Show Code,Date,People,Media Type,Media Code,Media URL,Media Title,Media Description
99,8/17/12,Jason Goldberg,2,47688758,,Jason Goldberg: You Can’t Iterate Yourself To A Business Model - 99u,
99,7/22/12,James Victore,2,46112891,,James Victore: Your Work Is A Gift - 99u,
99,6/6/12,Tony Fadell,2,43497548,,"Tony Fadell: On Setting Constraints, Ignoring Experts & Embracing Self-Doubt - 99u",
99,12/26/11,Yves Béhar,2,34047962,,Yves Béhar : Why Designers Should Be In Love With The Process - 99u,
99,12/2/11,Tony Schwartz,2,33018637,,Tony Schwartz: The Myths of the Overworked Creative - 99u,
99,11/10/11,Patrician McCarthy,2,31914858,,Patrician McCarthy: What’s Your Innate Gift? - 99u,
99,10/16/11,Aaron Dignan,2,30566074,,Aaron Dignan: How to Use Games to Excel at Life and Work - 99u,
99,9/27/11,Beth Comstock,2,28946565,,Beth Comstock: Make Heroes Out of the Failures - 99u,
99,9/11/11,Linda Rottenberg,2,28378837,,"Linda Rottenberg: For Entrepreneurs, “Crazy” Is A Compliment - 99u",
99,8/22/11,Andrew Zuckerman,2,27928639,,"Andrew Zuckerman: On Curiosity, Rigor, and Learning As You Go - 99u",
99,8/12/11,Starlee Kine,2,27635756,,"Starlee Kine: Fear, Heartbreak, and Making It Happen Against All Odds - 99u",
99,7/31/11,Joshua Foer,2,27067169,,Joshua Foer: Step Outside Your Comfort Zone and Study Yourself Failing - 99u,
99,7/24/11,Simon Sinek,2,26774102,,"Simon Sinek: If You Don’t Understand People, You Don’t Understand Business - 99u",
99,6/26/11,Jared Cohen,2,25313182,,Don't Pursue Ideas With Obvious Conclusions,
99,5/19/11,,2,23965123,,The 99U Experience: Insights On Putting Your Ideas Into Action - 99u,
99,12/16/10,Martin Ping,2,17900282,,Martin Ping: Transforming Society Begins With Transforming Yourself - 99u,
99,11/18/10,Antenna Design,2,16979026,,Antenna Design: Why Two Minds Think Faster Than One - 99u,
99,11/3/10,Stefan Sagmeister,2,16480283,,Stefan Sagmeister: Don’t Take Creativity For Granted - 99u,
99,10/11/10,John Maeda,2,15673277,,John Maeda: Looking for Superman - 99u,
99,9/9/10,Jay O’Callahan,2,14806071,,Jay O’Callahan: The Power of Storytelling - 99u,
99,8/23/10,Frans Johansson,2,14358662,,Frans Johansson: The Secret Truth About Executing Great Ideas - 99u,
99,8/5/10,Scott Belsky,2,13399691,,Scott Belsky: How To Avoid The Idea Generation Trap - 99u,
99,7/28/10,,2,13432412,,If I Knew Then What I Know Now: Advice for Young Creatives - 99u,
99,7/26/10,Jack Dorsey|Stefan Sagmeister|John Maeda|Fred Wilson,2,13644378,,2010 99U Conference: Stop Dreaming & Start Doing - 99u,
99,7/12/10,Leslie Koch,2,13258666,,Leslie Koch: Think Big and Act Small - 99u,
99,6/17/10,Fred Wilson,2,12643907,,Fred Wilson: 10 Ways to Be Your Own Boss - 99u,
99,5/31/10,Jack Dorsey,2,11712774,,Jack Dorsey: The 3 Keys to Twitter’s Success - 99u,
99,5/24/10,Eve Blossom,2,11982999,,Eve Blossom: Create Containers for Collaboration - 99u,
99,4/24/10,Scott Belsky,2,19138421,,"Scott Belsky: Is It Urgent, Or Is It Important? - 99u",
99,3/25/10,Jill Greenberg,2,10437697,,Jill Greenberg: How Much Should You Push the Envelope? - 99u,
99,2/11/10,Jeffrey Kalmikoff|Jake Nickell,2,9367822,,Threadless: The Do-First Work Ethic - 99u,
99,1/11/10,Ji Lee,2,8596045,,Ji Lee: The Transformative Power of Personal Projects - 99u,
99,12/28/09,Scott Belsky,2,8422213,,Scott Belsky: Don’t Let Your Genius Go Unnoticed - 99u,
99,11/22/09,Jason Randal,2,7763712,,Jason Randal: Learn How to “Stretch” Your Memory & Focus - 99u,
99,10/26/09,Michael Bierut,2,7252845,,Michael Bierut: 5 Secrets from 86 Notebooks - 99u,
99,9/8/09,Robert Hammond,2,6486838,,Robert Hammond: Building the High Line - 99u,
99,7/30/09,Scott Belsky,2,6797456,,Scott Belsky: Creativity x Organization = Impact - 99u,
99,7/1/09,Scott Thomas,2,5943199,,Scott Thomas: Designing the Obama Campaign - 99u,
99,6/1/09,Seth Godin,2,5895898,,Seth Godin: Quieting the Lizard Brain - 99u,
