Show Code,Date,People,Media Type,Media Code,Media URL,Media Title,Media Description
204,9/12/15,Adrian Chen,5,,http://traffic.libsyn.com/longform/Ep._171_-_Adrian_Chen.mp3,Longform Podcast #171,
204,12/4/15,Aleksandar Hemon,5,,http://traffic.libsyn.com/longform/Ep._170_-_Aleksandar_Hemon.mp3,Longform Podcast #170,
204,12/2/15,Chip Kidd,5,,http://traffic.libsyn.com/longform/Ep._169_-_Chip_Kidd_at_the_Miami_Book_Fair.mp3,Longform Podcast #169,
204,11/25/15,Ta-Nehisi Coates,5,,http://traffic.libsyn.com/longform/Ep._168_-_Ta-Nehisi_Coates.mp3,Longform Podcast #168,
204,11/18/15,Aurt Andersen,5,,http://traffic.libsyn.com/longform/Ep._167_-_Kurt_Andersen.mp3 ,Longform Podcast #167,
204,11/15/15,Rukmini Callimachi,5,,http://traffic.libsyn.com/longform/Ep._129_-_Rukmini_Callimachi_-_Part_1.mp3,Previously on the Longform Podcast,
204,11/9/15,Ed Caesar,5,,http://traffic.libsyn.com/longform/Ep._166_-_Ed_Caesar.mp3,Longform Podcast #166: Ed Caesar,
204,11/4/15,Jazmine Hughes,5,,http://traffic.libsyn.com/longform/Ep._165_-_Jazmine_Hughes.mp3,Longform Podcast #165: Jazmine Hughes,
204,10/28/15,Lena Dunham,5,,http://traffic.libsyn.com/longform/Ep._164_-_Lena_Dunham.mp3,Longform Podcast #164,
204,10/21/15,Matthew Shaer,5,,http://traffic.libsyn.com/longform/Ep._163_-_Matthew_Shaer.mp3,Longform Podcast #163,
204,10/14/15,John Seabrook,5,,http://traffic.libsyn.com/longform/Ep._162_-_John_Seabrook.mp3,Longform Podcast #162,
204,10/7/15,Karina Longworth,5,,http://traffic.libsyn.com/longform/Ep._161_-_Karina_Longworth.mp3,Longform Podcast #161,
204,9/30/15,Jessica Hopper,5,,http://traffic.libsyn.com/longform/Ep._160_-_Jessica_Hopper.mp3,Longform Podcast #160,
204,9/23/15,Ira Glass,5,,http://traffic.libsyn.com/longform/Ep._159_-_Ira_Glass.mp3,Longform Podcast #159,
204,9/16/15,Peter Hessler,5,,http://traffic.libsyn.com/longform/Ep._158_-_Peter_Hessler.mp3,Longform Podcast #158,
204,9/9/15,Margo Jefferson,5,,http://traffic.libsyn.com/longform/Ep._157_-_Margo_Jefferson.mp3,Longform Podcast #157,
204,9/2/15,Renata Adler,5,,http://traffic.libsyn.com/longform/Ep._156_-_Renata_Adler.mp3,Longform Podcast #156,
204,8/26/15,S.L. Price,5,,http://traffic.libsyn.com/longform/Ep._155_-_S.L._Price.mp3,Longform Podcast #155,
204,8/19/15,William Finnegan,5,,http://traffic.libsyn.com/longform/Ep._154_-_William_Finnegan.mp3,Longform Podcast #154,
204,8/12/15,Tim Ferriss,5,,http://traffic.libsyn.com/longform/Ep._153_-_Tim_Ferriss.mp3,Longform Podcast #153,
204,8/5/15,Carol Loomis,5,,http://traffic.libsyn.com/longform/Ep._152_-_Carol_Loomis.mp3,Longform Podcast #152,
204,7/31/15,Noreen Malone,5,,http://traffic.libsyn.com/longform/BONUS_Noreen_Malone.mp3,Bonus Episode,
204,7/29/15,Ian Urbina,5,,http://traffic.libsyn.com/longform/Ep._151_-_Ian_Urbina.mp3,Longform Podcast #151,
204,7/22/15,Margaret Sullivan,5,,http://traffic.libsyn.com/longform/Ep._150_-_Margaret_Sullivan.mp3,Longform Podcast #150,
204,7/8/15,Ross Andersen,5,,http://traffic.libsyn.com/longform/Ep._149_-_Ross_Andersen.mp3,Longform Podcast #149,
204,7/1/15,Anna Holmes,5,,http://traffic.libsyn.com/longform/Ep._148_-_Anna_Holmes.mp3,Longform Podcast #148,
204,6/24/15,James Verini,5,,http://traffic.libsyn.com/longform/Ep._147_-_James_Verini.mp3,Longform Podcast #147,
204,6/17/15,Rembert Browne,5,,http://traffic.libsyn.com/longform/Ep._146_-_Rembert_Browne.mp3,Longform Podcast #146,
204,6/10/15,Ashlee Vance,5,,http://traffic.libsyn.com/longform/Ep._145_-_Ashlee_Vance.mp3,Longform Podcast #145,
204,6/3/15,Cheryl Strayed,5,,http://traffic.libsyn.com/longform/Ep._144_-_Cheryl_Strayed.mp3,Longform Podcast #144,
204,5/27/15,Masha Gessen,5,,http://traffic.libsyn.com/longform/Ep._143_-_Masha_Gessen.mp3,Longform Podcast #143,
204,5/20/15,Sarah Maslin Nir,5,,http://traffic.libsyn.com/longform/Ep._142_-_Sarah_Maslin_Nir.mp3,Longform Podcast #142,
204,5/13/15,Stephen J. Dubner,5,,http://traffic.libsyn.com/longform/Ep._141_-_Stephen_J._Dubner.mp3,Longform Podcast #141,
204,5/6/15,George Quraishi,5,,http://traffic.libsyn.com/longform/Ep._140_-_George_Quraishi.mp3,Longform Podcast #140,
204,4/29/15,Andy Greenwald,5,,http://traffic.libsyn.com/longform/Ep._139_-_Andy_Greenwald.mp3,Longform Podcast #139,
204,4/22/15,Alexis Okeowo,5,,http://traffic.libsyn.com/longform/Ep._138_-_Alexis_Okeowo.mp3,Longform Podcast #138,
204,4/15/15,Rachel Syme,5,,http://traffic.libsyn.com/longform/Ep._137_-_Rachel_Syme.mp3,Longform Podcast #137,
204,4/8/15,Anna Sale,5,,http://traffic.libsyn.com/longform/Ep._136_-_Anna_Sale.mp3,Longform Podcast #136,
204,4/1/15,Scott Anderson,5,,http://traffic.libsyn.com/longform/Ep._135_-_Scott_Anderson.mp3,Longform Podcast #135,
204,3/25/15,Dayna Tortorici,5,,http://traffic.libsyn.com/longform/Ep._134_-_Dayna_Tortorici.mp3,Longform Podcast #134,
204,3/18/15,Adam Platt,5,,http://traffic.libsyn.com/longform/Ep._133_-_Adam_Platt.mp3,Longform Podcast #133,
204,3/11/15,Erik Larson,5,,http://traffic.libsyn.com/longform/Ep._132_-_Erik_Larson.mp3,Longform Podcast #132,
204,3/4/15,Josh Dean,5,,http://traffic.libsyn.com/longform/Ep._131_-_Josh_Dean.mp3,Longform Podcast #131,
204,2/25/15,Mac McClelland,5,,http://traffic.libsyn.com/longform/Ep._130_-_Mac_McClelland.mp3,Longform Podcast #130,
204,2/19/15,Rukmini Callimachi,5,,http://traffic.libsyn.com/longform/Ep._129_-_Rukmini_Callimachi_-_Part_2.mp3,Longform Podcast #129,
204,2/18/15,Rukmini Callimachi,5,,http://traffic.libsyn.com/longform/Ep._129_-_Rukmini_Callimachi_-_Part_1.mp3,Longform Podcast #129,
204,2/11/15,Jack Shafer,5,,http://traffic.libsyn.com/longform/Ep._128_-_Jack_Shafer.mp3,Longform Podcast #128,
204,2/4/15,Molly Crabapple,5,,http://traffic.libsyn.com/longform/Ep._127_-_Molly_Crabapple.mp3,Longform Podcast #127,
204,1/28/15,Taffy Brodesser-Akner,5,,http://traffic.libsyn.com/longform/Ep._126_-_Taffy_Brodesser-Akner.mp3,Longform Podcast #126,
204,1/21/15,Anand Gopal,5,,http://traffic.libsyn.com/longform/Ep._125_-_Anand_Gopal.mp3,Longform Podcast #125,
204,1/14/15,Alex Blumberg,5,,http://traffic.libsyn.com/longform/Ep._124_-_Alex_Blumberg.mp3,Longform Podcast #124,
204,1/7/15,Nicholas Carlson,5,,http://traffic.libsyn.com/longform/Ep._123_-_Nicholas_Carlson.mp3,Longform Podcast #123,
204,12/17/14,Hanna Rosin,5,,http://traffic.libsyn.com/longform/Ep._122_-_Hanna_Rosin.mp3,Longform Podcast #122,
204,12/10/14,Meghan Daum,5,,http://traffic.libsyn.com/longform/Ep._121_-_Meghan_Daum.mp3,Longform Podcast #121,
204,12/3/14,Katie J.M. Baker,5,,http://traffic.libsyn.com/longform/Ep._120_-_Katie_JM_Baker.mp3,Longform Podcast #120,
204,11/26/14,Alec Wilkinson,5,,http://traffic.libsyn.com/longform/Ep_119_-_Alec_Wilkinson.mp3,Longform Podcast #119,
204,11/19/14,Emma Carmichael,5,,http://traffic.libsyn.com/longform/Ep._118_-_Emma_Carmichael.mp3,Longform Podcast #118,
204,11/12/14,Reihan Salam,5,,http://traffic.libsyn.com/longform/Ep._117_-_Reihan_Salam.mp3,Longform Podcast #117,
204,11/5/14,Jake Halpern,5,,http://traffic.libsyn.com/longform/Ep._116_-_Jake_Halpern.mp3,Longform Podcast #116,
204,10/29/14,Jen Percy,5,,http://traffic.libsyn.com/longform/Ep._115_-_Jen_Percy.mp3,Longform Podcast #115,
204,10/22/15,Jessica Pressler,5,,http://traffic.libsyn.com/longform/Ep._114_-_Jessica_Pressler.mp3,Longform Podcast #114,
204,10/15/14,Wendy MacNaughton,5,,http://traffic.libsyn.com/longform/Ep._113_-_Wendy_MacNaughton.mp3,Longform Podcast #113,
204,10/8/14,Don Van Natta,5,,http://traffic.libsyn.com/longform/Ep._112_-_Don_Van_Natta_Jr.mp3,Longform Podcast #112,
204,10/1/14,Anne Helen Petersen,5,,http://traffic.libsyn.com/longform/Ep._111_-_Anne_Helen_Petersen.mp3 ,Longform Podcast #111,
204,9/24/15,Chris Hayes,5,,http://traffic.libsyn.com/longform/Ep._110_-_Chris_Hayes.mp3,Longform Podcast #110,
204,9/17/15,Buzz Bissinger,5,,http://traffic.libsyn.com/longform/Ep._109_-_Buzz_Bissinger.mp3 ,Longform Podcast #109,
204,9/10/14,Sean Wilsey,5,,http://traffic.libsyn.com/longform/Ep._108_-_Sean_Wilsey.mp3,Longform Podcast #108,
204,9/3/14,Emily Bazelon,5,,http://traffic.libsyn.com/longform/Ep._107_-_Emily_Bazelon.mp3,Longform Podcast #107,
204,8/27/14,Zach Baron,5,,http://traffic.libsyn.com/longform/Ep._106_-_Zach_Baron.mp3,Longform Podcast #106,
204,8/20/14,Ben Anderson,5,,http://traffic.libsyn.com/longform/Ep._105_-_Ben_Anderson.mp3,Longform Podcast #105,
204,8/13/14,Lewis Lapham,5,,http://traffic.libsyn.com/longform/Ep._104_-_Lewis_Lapham.mp3,Longform Podcast #104,
