Show,Date,Person,Media Type,Media Value,,Title,,,,,,,,,,,,,,,,,,,,,
219,9/1/13,Jonah Peretti,1,caNLLFZ1zu0,,The Changing Face of News Content,,,,,,,,,,,,,,,,,,,,,
219,9/1/13,Jason Silva,1,Dm9XJgy8AEA,,Adding More Wonder and Awe in Our Lives,,,,,,,,,,,,,,,,,,,,,
219,9/1/13,Maria Eitel,1,NX9-Gn0bx0c,,The Future Depends on Adolescent Girls,,,,,,,,,,,,,,,,,,,,,
219,9/1/13,Srdja Popovic,1,hhGZ_y5tNVI,,How to Plan a Nonviolent Movement,,,,,,,,,,,,,,,,,,,,,
219,9/1/13,Pablos Holman,1,N8coGxkUuiE,,Hackers Take on Broader Problems in the World,,,,,,,,,,,,,,,,,,,,,
219,9/1/13,Mark Burnett,1,Ain3_Xc5o6g,,Storytelling in Hollywood,,,,,,,,,,,,,,,,,,,,,
219,9/1/13,Freeman Hrabowski,1,mG06j8u1-QU,,Succeeding in STEM,,,,,,,,,,,,,,,,,,,,,
219,9/1/13,Larry Page,1,xtu6HmqRCO4,,Larry Page - September 2013,,,,,,,,,,,,,,,,,,,,,
219,9/1/13,Andre Borschberg,1,QqRJ0lvqMpo,,A Flight Around the World,,,,,,,,,,,,,,,,,,,,,
219,9/1/13,Gerald Slavet,1,lUYHC78rDDg,,The Arts are the Roots of Education,,,,,,,,,,,,,,,,,,,,,
219,9/1/13,Matthias Giraud,1,aUxVVFsFvLk,,Creating the GoPro,,,,,,,,,,,,,,,,,,,,,
219,9/1/13,Kit Parker,1,mUfui4sSquc,,Innovative Solutions to Battlefield Problems,,,,,,,,,,,,,,,,,,,,,
219,9/1/13,Cami Anderson,1,_UKvrO2_AAA,,Challenging the Education Status Quo,,,,,,,,,,,,,,,,,,,,,
219,9/1/13,Elif Bilgin,1,m-GU2rW7wLA,,Elif Bilgin - September 2013,,,,,,,,,,,,,,,,,,,,,
219,9/1/13,Fernando Machado,1,3UK3m3eDLWI,,The Man Behind the Campaign for Real Beauty,,,,,,,,,,,,,,,,,,,,,
219,9/1/13,Gabrielle Giffords,1,MrEGrN3o5rY,,Denying the Acceptance of Failure,,,,,,,,,,,,,,,,,,,,,
219,9/1/13,Carl June|Doug Olson,1,ahMBu6BgObU,,The Ongoing Fight Against Cancer,,,,,,,,,,,,,,,,,,,,,
219,9/1/13,Don Walsh,1,Ac3NpyIbCSU,,The Future of Ocean Exploration,,,,,,,,,,,,,,,,,,,,,
219,9/1/13,Saroo Brierley,1,blW8eXIJxuY,,Finding The Way Back Home in the 21st Century,,,,,,,,,,,,,,,,,,,,,
219,9/1/13,Chris Fischer,1,cwUArSq5uHs,,Rethinking Institutional Research,,,,,,,,,,,,,,,,,,,,,
219,9/1/13,Eduardo Paes,1,NGyspiiwvvI,,How Cities Can Shape Policy,,,,,,,,,,,,,,,,,,,,,
219,9/1/13,Matthias Giraud,1,k7CWuF5C9og,,On Being an Adventure Junkie,,,,,,,,,,,,,,,,,,,,,
219,9/1/13,Don Walsh,1,DtD9IBvFFG4,,A Conversation with Ocean Explorers,,,,,,,,,,,,,,,,,,,,,
219,9/1/13,Freeman Hrabowski,1,Or4TGPJzbGo,,Succeeding in STEM,,,,,,,,,,,,,,,,,,,,,
219,9/1/13,Debbie Sterling,1,W68sbzXe08s,,Inspiring Girls to be Engineers,,,,,,,,,,,,,,,,,,,,,
219,9/1/13,Ron Finley,1,pcyDe_nbEsc,,Starting a Gardening Revolution,,,,,,,,,,,,,,,,,,,,,
219,9/1/13,Sylvia Earle,1,FQ_gKWDu1DE,,The Time is Now to Save the Oceans,,,,,,,,,,,,,,,,,,,,,
219,9/1/13,Brian Grazer,1,rB5t3SHIpjI,,Putting Consumers in Control of Entertainment,,,,,,,,,,,,,,,,,,,,,
219,9/1/13,Mazen Asbahi,1,Wrc6hp4iYjg,,A Conversation About the War in Syria,,,,,,,,,,,,,,,,,,,,,
219,9/1/13,Steven Kydd,1,jyinH5NfhBk,,The Universal Language of Food,,,,,,,,,,,,,,,,,,,,,
219,9/1/13,Taylor Wilson,1,Z7fi1n306sE,,Changing the World One Teen at a Time,,,,,,,,,,,,,,,,,,,,,
219,9/1/13,Luciano Huck,1,RtxkELaRLJ8,,The Digital Spring in Brazil,,,,,,,,,,,,,,,,,,,,,
219,9/1/13,Noah Silverman St. John,1,qSEIokbjwWQ,,The Last Mile,,,,,,,,,,,,,,,,,,,,,
219,9/1/13,Leo Villareal,1,J2_f3_r4RM4,,Blending Technology and Art to Revitalize a City,,,,,,,,,,,,,,,,,,,,,
219,9/1/13,Larry Page,1,DypcQUvf0eQ,,The Future of Technology and Large Scale Change,,,,,,,,,,,,,,,,,,,,,
219,9/1/13,,1,ilIn-S_rXEA,,Zeitgeist 2013: Here's to the Curious...,,,,,,,,,,,,,,,,,,,,,
219,9/1/13,Chris Anderson,1,BfwKfZ8B9cc,,Putting Technology into the Hands of Everyday People,,,,,,,,,,,,,,,,,,,,,
219,9/1/13,Eric Schmidt,1,hUPnhKf_Cnw,,Bettering the Lives of the next 5B,,,,,,,,,,,,,,,,,,,,,
219,9/1/13,Lawrence Summers,1,diAc6pIzaxU,,A Lifetime in Economics,,,,,,,,,,,,,,,,,,,,,
219,9/1/13,Jon Huntsman Jr.,1,yS7TBuDHdqo,,The Future of Republican Politics,,,,,,,,,,,,,,,,,,,,,
219,9/1/13,Jon Lovett,1,PQzFijvVQII,,The Need for Authenticity,,,,,,,,,,,,,,,,,,,,,
219,9/1/13,Fawzia Koofi,1,KW1wE21vA8k,,Visionary Leadership in Afghanistan,,,,,,,,,,,,,,,,,,,,,
219,9/1/13,Malcolm Gladwell,1,3UEwbRWFZVc,,"Misfits, Underdogs, and the Art of Battling Giants",,,,,,,,,,,,,,,,,,,,,
219,9/1/13,John Collins,1,XXN1LrbLAUs,,The Magic of Flight,,,,,,,,,,,,,,,,,,,,,
219,5/1/13,Charles Hazlewood,1,qyNebEp-SFQ,,Our Legacy,,,,,,,,,,,,,,,,,,,,,
219,5/1/13,Ausama Monajed,1,6vvfCnNAGWQ,,Courage in a Connected World,,,,,,,,,,,,,,,,,,,,,
219,5/1/13,Yasmin Green,1,AUAKTpOjue0,,Courage in a Connected World,,,,,,,,,,,,,,,,,,,,,
219,5/1/13,Adam Sadowsky,1,j9survY5WQM,,Generation Tomorrow,,,,,,,,,,,,,,,,,,,,,
219,5/1/13,Frans Timmermans,1,JYRfURVI_TM,,The New Spirit in Europe,,,,,,,,,,,,,,,,,,,,,
219,5/1/13,David Halpern,1,6wwOcy1UQ2g,,Behavior Science and Well Being in Government Affairs,,,,,,,,,,,,,,,,,,,,,
219,5/1/13,Beau Lotto,1,5tcNsr4J_zk,,Generation Tomorrow,,,,,,,,,,,,,,,,,,,,,
219,5/1/13,Paul Bloom,1,JbVfcZxfIZo,,How Pleasure Works,,,,,,,,,,,,,,,,,,,,,
219,5/1/13,Jakob van Zyl,1,l7QSw45-5ns,,From Star Trek to Zeitgeist,,,,,,,,,,,,,,,,,,,,,
219,5/1/13,Michael Sandel,1,-9mIFH0QM3o,,Action This Day,,,,,,,,,,,,,,,,,,,,,
219,5/1/13,Bertolt Meyer,1,cNMuQhOdDyo,,From Star Trek to Zeitgeist - Clip,,,,,,,,,,,,,,,,,,,,,
219,5/1/13,Astro Teller,1,IwOR5OH_ePE,,Radical Solutions to the World's Problems,,,,,,,,,,,,,,,,,,,,,
219,5/1/13,Lindiwe Mazibuko,1,9VLvg-Xbt1Y,,Courage in a Connected World,,,,,,,,,,,,,,,,,,,,,
219,5/1/13,Bertolt Meyer,1,DrGSHb2mf-k,,From Star Trek to Zeitgeist,,,,,,,,,,,,,,,,,,,,,
219,5/1/13,Walter de Brouwer,1,X4CtkmkqZVA,,The Future of Data Based Medicine,,,,,,,,,,,,,,,,,,,,,
219,5/1/13,Shin Kubota,1,5LcHB7Fd-8g,,From Star Trek to Zeitgeist - Clip,,,,,,,,,,,,,,,,,,,,,
219,5/1/13,Scott Harrison,1,kp7YGIamtN8,,How Water can Transform Communities,,,,,,,,,,,,,,,,,,,,,
219,5/1/13,Eric Schmidt,1,hMGP_PQ51uI,,Action This Day,,,,,,,,,,,,,,,,,,,,,
219,5/1/13,José María Aznar,1,73NC1VGl-n8,,The New Spirit in Europe,,,,,,,,,,,,,,,,,,,,,
219,5/1/13,Mike Norton,1,-amGMHbFQ_Y,,On Money and Happiness,,,,,,,,,,,,,,,,,,,,,
219,5/1/13,Matthieu Ricard,1,hQbBSxooz_I,,Happiness vs. Pleasure,,,,,,,,,,,,,,,,,,,,,
219,5/1/13,Marc Goodman,1,sYS182wnOns,,Courage in a Connected World,,,,,,,,,,,,,,,,,,,,,
219,5/1/13,Jack Andraka,1,rC0XHb_OK_Q,,Generation Tomorrow,,,,,,,,,,,,,,,,,,,,,
219,5/1/13,Eddie Obeng,1,E9DkuR7NpYI,,Generation Tomorrow,,,,,,,,,,,,,,,,,,,,,
219,5/1/13,Moran Cerf,1,xWd3ODxNlek,,Courage in a Connected World,,,,,,,,,,,,,,,,,,,,,
219,5/1/13,Leymah Gbowee,1,69FeJY7R7wY,,Our Legacy,,,,,,,,,,,,,,,,,,,,,
219,5/1/13,General Sir Michael Jackson,1,O6EMGuCgJQ4,,Our Legacy,,,,,,,,,,,,,,,,,,,,,
219,5/1/13,Sugata Mitra,1,FZLYIe_jmWM,,Generation Tomorrow,,,,,,,,,,,,,,,,,,,,,
219,5/1/13,Thomas Heatherwick,1,yJy1BrcNVIU,,Design and the Human Experience,,,,,,,,,,,,,,,,,,,,,
219,5/1/13,Alastair Parvin,1,PwDoY78HZOs,,The Way We Live,,,,,,,,,,,,,,,,,,,,,
219,5/1/13,Dan Ariely,1,WgV49RPpZXw,,The Pleasure Principle,,,,,,,,,,,,,,,,,,,,,
219,5/1/13,Nikesh Arora,1,ID_5-0yq9l0,,Zeitgeist 2013 EMEA Highlights,,,,,,,,,,,,,,,,,,,,,
219,10/1/12,Dan Ariely,1,iOLZVpRaVks,,Research Knows Better,,,,,,,,,,,,,,,,,,,,,
219,10/1/12,Van Jones,1,ItSLPompbzk,,A New Generation of the American Dream,,,,,,,,,,,,,,,,,,,,,
219,10/1/12,Eric Schmidt,1,kUHF43xjMJM,,Human Connectivity via Technology,,,,,,,,,,,,,,,,,,,,,
219,10/1/12,Austan Goolsbee,1,qGh3yBibOVs,,On the US Economy,,,,,,,,,,,,,,,,,,,,,
219,10/1/12,Doris Kearns Goodwin,1,iANpQjRTYhc,,History Lessons,,,,,,,,,,,,,,,,,,,,,
219,10/1/12,David Doubilet,1,KSum7oU047k,,Photographic Memories,,,,,,,,,,,,,,,,,,,,,
219,10/1/12,Alison Stewart,1,m3PYuyenBjo,,Innovation through Practice and Failure,,,,,,,,,,,,,,,,,,,,,
219,10/1/12,Dr. Edward Wright,1,72Q2iOcfM5I,,On Using Infrared Technology to Capture the Universe,,,,,,,,,,,,,,,,,,,,,
219,10/1/12,Ken Chenault,1,8dKFDr4pFWw,,On Overcoming Obstacles,,,,,,,,,,,,,,,,,,,,,
219,10/1/12,Marc Raibert,1,am13YjHwASY,,Using Nature as a Blueprint for Developing Robots,,,,,,,,,,,,,,,,,,,,,
219,10/1/12,Charles Duhigg,1,AOPlCbCxaFA,,Using Cues to Create Healthier Habits,,,,,,,,,,,,,,,,,,,,,
219,10/1/12,John Battelle,1,Q5ikGoJTpMM,,We Work Better Together,,,,,,,,,,,,,,,,,,,,,
219,10/1/12,Sir Ken Robinson PhD,1,w9-SYa_82TI,,On Education Reform,,,,,,,,,,,,,,,,,,,,,
219,10/1/12,John Besh,1,TzVLmQNkfmc,,Nourishing Communities through Outreach,,,,,,,,,,,,,,,,,,,,,
219,10/1/12,Sean Penn,1,0kS3QmZ1hIA,,Opportunities in Haiti,,,,,,,,,,,,,,,,,,,,,
