Show Code,Date,People,Media Type,Media Code,Media URL,Media Title,Media Description
218,6/4/15,Stewart Brand | Ben Novak,1,BlN_FH84dew,,"Stewart Brand, Ben Novak, and Revive & Restore on Time.com","In ""Waking the Dead: Bringing Extinct Species Back to Life"" Time.com interview Stewart Brand (Long Now co-founder and President of Revive & Restore) and Ben Novak (lead researcher on Revive & Restore's passenger pigeon de-extinction efforts). The Tasmanian tiger, pyrenean ibex, and more."
218,7/18/13,Jim Richardson,1,n3ouuwVDvzo,,SALT Highlights: Jim Richardson,"Heirlooms: Saving Humanity's 10,000-year Legacy of Food presented by Jim Richardson on February 22, 02012 http://longnow.org/seminars/02012/feb/22/heirlooms-saving-humanitys-10000-year-legacy-food/ Agricultural biodiversity is as much in need of defending as the world's wildlife. Countless varieties of plants and animals were bred by the world's peoples for talents specific to every soil, climate, and human culture. Most of them have been lost---their hard-won genetic sophistication extinguished. But many have survived, thanks to professional and amateur devotion, and they are wondrous---living embodiments of humanity's deepest traditions. Photojournalist Jim Richardson has been covering the agricultural beat for National Geographic since 1984. His spectacular photographs, and the stories he tells with them, are renowned. This highlight clip is excerpted from a lecture given as part of the Seminars About Long-term Thinking, a project of The Long Now Foundation. Learn more and view the full video: http://longnow.org/seminars/02012/feb/22/heirlooms-saving-humanitys-10000-year-legacy-food/"
218,4/25/11,Jermiah O'Brien,1,XT8-qtAYNRk,,Jermiah O'Brien Engine Room,"Shot on the 65th Anniversary cruise, this is preview of what people will see for the Mechanicrawl."
218,4/25/11,Rusty Schweickart,1,-nPr0KB1wy4,,"Rusty Schweickart, The Asteroid Threat Over the Next 100,000 Years, SALT tak","The epitome of long-term thinking is to take seriously the protection of the Earth from massive asteroid impacts, which in the past have extincted as much as 90% of life on Earth. This Friday, March 12, astronaut RUSTY SCHWEICKART will give a public lecture titled ""The Asteroid Threat Over the Next 100,000 Years."" It will detail graphically the results of his research on asteroid impact frequency and damage, along with what it will take to find and deflect future threatening asteroids. Rusty Schweickart was trained in astronautics at MIT, flew as a fighter jock with the Air Force, and became one of the pioneer ""science"" astronauts. On the Apollo 9 mission in 1969 he was the first to test-pilot the Lunar Lander and was one of the first to space-walk without an umbilical. He chaired the California Energy Commission and founded the Association of Space Explorers. He currently runs the B612 Foundation, which champions techniques for heading off future asteroid impacts. The Long Now Foundation Speaker: Rusty Schweickart Slides: Rusty Schweickart Production: The Long Now Foundation"
218,4/25/11,Ray Kurzweil,1,2_FiQTxL85g,,Ray Kurzweil - Kurzweil's Law - Long Now Seminars About Long Term Thinking,"This is one of those ""What if he is right !!?"" talks. Ray Kurzweil makes a graphic and persuasive case that a law of accelerating returns has been operative for eons as well as decades, and the pace is now approaching a velocity that can only be called transformative. Renowned inventor Ray Kurzweil is author of THE AGE OF INTELLIGENT MACHINES; THE AGE OF SPIRITUAL MACHINES; and his brand new book, THE SINGULARITY IS NEAR: WHEN HUMANS TRANSCEND BIOLOGY. You can see more about The Long Now Foundation and Seminars About Long Term Thinking at: http://www.longnow.org - slides, discussions, audio, and video available. Creative Commons license: http://creativecommons.org/licenses/by-nc-nd/2.5/ The Long Now Foundation Speaker: Ray Kurzweil Slides: Ray Kurzweil producer: Long Now videographer: Misha Antonich"
218,4/25/11,James P. Carse,1,qdIP6HilbWE,,"James P. Carse, Religious War In Light of the Infinite Game, SALT talk","Behind current headlines is the loom of religious war. Behind THAT is the ""infinite game"" of religion itself. They contradict each other. They meet in this lecture. The Long Now Foundation Speaker: James P. Carse Production: The Long Now Foundation"
218,4/25/11,Jared Diamond,1,wpkS1xym0HA,,Jared Diamond - How Societies Fail-And Sometimes Succeed - Long Now Foundation,"Jared Diamond articulately spelled out how his best-selling book, COLLAPSE, took shape. At first it was going to be a book of 18 chapters chronicling 18 collapses of once-powerful societies--- the Mayans with the most advanced culture in the Americas, the Anasazi who built six-story skyscrapers at Chaco, the Norse who occupied Greenland for 500 years. But he wanted to contrast those with success stories like Tokugawa-era Japan, which wholly reversed its lethal deforestation, and Iceland, which learned to finesse a highly fragile and subtle environment... You can see more about The Long Now Foundation and Seminars About Long Term Thinking at: http://www.longnow.org - slides, discussions, audio, and video available. Creative Commons license: http://creativecommons.org/licenses/by-nc-nd/2.5/ The Long Now Foundation Speaker: Jared Diamond Organizer: The Long Now Foundation"
218,4/25/11,Ken Dychtwald,1,Xyroe8WcZuQ,,"Ken Dychtwald, The Consequences of Human Life Extension, SALT talk","Dazzling speaker KEN DYCHTWALD--- author of the books Age Wave and Age Power--- adds to The Long Now Foundation's Seminars About Long-term Thinking. Longer life is changing each one of us, it will affect our children even more, and it will transform society. The Long Now Foundation Speaker: Ken Dychtwald Slides: Ken Dychtwald Production: The Long Now Foundation"
218,4/25/11,Freeman Dyson | George Dyson | Esther Dyson,1,YcpPqQn4DwQ,,"Freeman Dyson with George and Esther Dyson, The Difficulty of Looking Far Ahead","Mathematician, physicist, essayist Freeman Dyson has been at the Institute for Advanced Study in Princeton since 1953. His books include DISTURBING THE UNIVERSE (1979), INFINITE IN ALL DIRECTIONS (1988), and THE SUN, THE GENOME, AND THE INTERNET (1999). Esther Dyson, known as the most searching, insightful, and wry of journalists covering the computer industry, is longtime editor of ""Release 1.0,"" author of RELEASE 2.0 and a member of the Long Now board.. Famed kayak designer George Dyson has become a highly respected chronicler of technology history with DARWIN AMONG THE MACHINES (1997) and PROJECT ORION (2002). The Long Now Foundation Speaker: Freeman Dyson Speaker: George Dyson Slides: George Dyson Speaker: Esther Dyson Production: The Long Now Foundation"
218,4/25/11,Rob Neuwirth,1,ChPmtNpUvHo,,"Rob Neuwirth, The 21st-century Medieval City - Seminars About Long Term Thinking","For his talk ""The 21st-century Medieval City,"" Robert Neuwirth took an overflow audience to ""the cities of tomorrow,"" the developing-world shanty-towns where a billion people live now, and three billion (a third of humanity) are expected to be living by 2050. With vivid stories and slides (shown for the first time publicly), Neuwirth detailed how life works for the squatters in Rio, Nairobi, Istanbul, and Mumbai. It's hard for new arrivals--- 1.4 million a week around the world, 70 million a year. They throw together mud huts and make do with no water, no electricity, no transportation, no sewage, and barely room to turn around amid square miles of dense crowding. You can see more about The Long Now Foundation and Seminars About Long Term Thinking at: http://www.longnow.org - slides, discussions, audio, and video available. Creative Commons license: http://creativecommons.org/licenses/by-nc-nd/2.5/ The Long Now Foundation Organizer: The Long Now Foundation Speaker: Rob Neuwirth Slides: Rob Neuwirth"
