Show Code,Date,People,Media Type,Media Code,Media URL,Media Title,
199,10/3/08,Slavoj Zizek,1,https://www.youtube.com/watch?v=_x0eyNkNpL0&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ&index=137,,"Slavoj _i_ek: ""Violence"" | Talks at Google",
199,10/9/08,Keith Devlin,1,https://www.youtube.com/watch?v=3pRM4v0O29o&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ&index=136,,Authors@Google: Keith Devlin,
199,10/14/08,Leslie Chang,1,https://www.youtube.com/watch?v=NhcqoxNhrSY&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ&index=135,,Authors@Google: Leslie Chang,
199,10/28/08,Akbar Ganji,1,https://www.youtube.com/watch?v=HTEAlcT8sos&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ&index=134,,Authors@Google: Akbar Ganji,
199,11/21/08,Arvind Kejriwal,1,https://www.youtube.com/watch?v=eQbigp_SHeE&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ&index=133,,Authors@Google: Arvind Kejriwal,
199,12/5/08,Howard Zinn,1,https://www.youtube.com/watch?v=lHthW6kh-N8&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ&index=132,,Authors@Google: Howard Zinn,
199,12/11/08,Chris Onstad,1,https://www.youtube.com/watch?v=V2ZOSZZTIiE&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ&index=131,,Authors@Google: Chris Onstad,
199,12/15/08,Temple Grandin,1,https://www.youtube.com/watch?v=hiAMAxNXUh0&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ&index=130,,Authors@Google: Temple Grandin,
199,1/15/09,Denis Dutton,1,https://www.youtube.com/watch?v=R-Di86RqDL4&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ&index=129,,Authors@Google: Denis Dutton,
199,2/10/09,Sean Carroll,1,https://www.youtube.com/watch?v=cxFfUsDgnaU&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ&index=128,,Authors@Google: Sean Carroll,
